product_name,brand,proteins
Biscottes sans sel et sans sucre ajoutés,Pasquier,15.0
Pain de mie american sandwich rustique sans sucres ajoutés 500g,Harry's,11.0
"9 Minis St Moret (17,8% MG)","Savencia, St Moret",8.3
Chocolat noir 85% Madagascar,Ethiquable,11.0
Heinz Beanz No Added Sugar,"HAUGEN-GRUPPEN AS,Heinz",9.5
,Jacquet,10.0
Leerdammer original 8 tranches 200g,Leerdammer,26.0
NAKD PROTEIN - Cacao noisette - 45g (16x1p),Nakd,16.0
Kinder Bueno,Kinder,8.6
La Biscotte 96% de céréales,Heudebert,11.0
Wheat Biscuits,By Sainsbury's,12.0
,Khayrat,10.0
Proteines Mangue,Chergui,36.0
Queso Blanco Pasteurizado Light,Hacendado,9.0
Mon p'tit plaisir,Milbona,8.2
Crunchy Peanut Butter,Whole Earth,27.7
Nutty Granola,Deliciously Ella,12.0
Margherita Sourdough Pizza,Crosta & Mollica,10.0
Extra moelleux nature,HARRYS,8.1
Chips de lentilles saveur tomate mozza,"Natu' & Bon,Vico",13.0
Alpenmüsli The Original Swiss Style,Weetabix,11.0
Beurre de cacahuètes,Maribel,30.4
Pain complet,Jacquet,8.7
Crunchy Oat Granola Raisin & Almond,Jordan,11.0
Weetabix,Weetabix,12.0
Natural Cottage Cheese,Milbona,11.5
Le berger From blanc Nat,,20.0
"Muesli bio 36% fruits, noix & graines",Jordans,9.3
Chocolate negro,"Carrefour BIO, Carrefour",9.6
Céréales All Bran Kellogg's Fibre Plus,Kellogg's,14.0
Le Supérieur -25% de Sel - Conservation sans Nitrite,Fleury Michon,8.8
Absolute black dark chocolate,Montezuma's,13.0
Granola Chocolat,Bjorg,10.0
Tartines Bio quinoa & graines 450g,"La Boulangère Bio,La boulangere",9.1
Chicorée Café,Bellarom,11.0
Nocciolata,Rigoni di Asiago,8.1
180G LT NOISETTE COTE D OR,Côte d'Or,9.3
Maxi Tranches Sans sucre ajouté Nature,Jacquet,8.3
Grape-Nuts,Post,11.2
Dark Chocolate Chip Oat Biscuits,Nairn's,8.1
Skyr,Milbona,16.5
Perly,Perly,10.0
El Mordjene Crème De Noisettes Grillées,Cebon,8.44
Crousti' Avoine Chocolat,Bjorg,10.0
Grilletine Sans sucres ajoutés Blé complet,Pasquier,13.0
Biscuits Germe de Blé et Pépites de Chocolat,"Lidl,Sondey",9.1
HERTA LE BON PARIS Jambon sel réduit sans nitrite x4-140g,"HERTA, Le Bon Paris",22.0
Milka wholenut,Milka,8.1
nakd peanut butter protein bar,Nakd,17.4
Pudding,Milbona,20.0
Barre céréales Protéines peanut& chocolat🍫,Nature Valley,25.6
babybel,Babybel,22.0
MUSCLY FROMAGE 24,"Jaouda, Copag",9.0
Or Blanc,Or Blanc,9.5
Pâtes spaghetti au blé complet integral 500g,Barilla,13.0
Peanut Butter,Mcennedy,23.1
Mozzarella,Galbani,17.0
Beurre de cacahouète,Maribel,27.3
Chavroux Pur Chèvre,Chavroux,8.7
Nature Valley Crunchy Oats & Honey,Nature Valley,8.7
Oat Granola,Dorset Cereals,8.7
L'Original - Cacao en poudre non sucré,Van houten,20.0
,Snickers,8.6
Meat Free Tasty Sausages,Richmond,8.7
Tentation aiguebelle,Aiguebelle,10.0
Seeded Sourdough Half Bloomer,Sainsbury's,10.7
Muesli bio chocolat noir,Jordans,9.1
Nut & fruit mix classic,"Alesto, Lidl",13.4
Fiocchi di avena integrali,CROWNFIELD,13.5
Vegetarian Sausages,Linda McCartney's,16.0
Chickpeas in water,"Sainsbury's, Greencane paper",9.2
Copos de trigo espelta integral 0%,Hacendado,14.6
Table Water Biscuits,Carr's,10.1
Nesquik Cereal,Nesquik,8.4
tuc,Tuc,8.1
La bûche fondante,"Lactalis, Président",17.0
Beau & bon pain de mie complet lin tournesol 320g,Harrys,11.0
Noir intense dessert 70%,Lindt,9.0
No Added Sugar Muesli imp,"Alpen, Weetabix",12.0
Thon Joly,"Joly,Doha",33.0
Durum wheat flatbreads,crosta & mollica,8.9
Biscuits Soja Figue,Gerblé,12.0
Digestive Avena Naranja,Gullón,8.1
Jemné ovesné vločky,"Crownfield,Lidl",14.0
Le petit Gerblé nature,gerblé,10.0
CREAM CRACKERS,Tesco,10.0
2 Steaks végétaux et gourmands,Happyvore,13.0
Pain de mie Bio grandes tranches complet sans sucres ajoutés 500g,La Boulangère,10.0
Pain de mie grandes tranches Avoine & Graines 500g,La BOULANGÈRE,12.0
Snickers,offer,8.7
Galettes Boulgour & Sarrasin à l'Emmental,Céréal,8.8
Tofu nature,Bjorg,16.0
Cashew-Cranberry-Mix,Alesto,10.4
Pain Grillé l'Original,BRIOCHE PASQUIER,11.0
Cottage cheese,Longley Farm,10.3
High Protein Drink Gusto Vaniglia,"Lidl, Milbona, Milbona (Lidl)",35.0
Wheat Biscuits malty & crispy,Tesco,12.0
Pan de molde natural trigo espelta 100% integral,Hacendado,10.2
Sourdough  bagels,Fitzgeralds Sourdough Bagels,10.1
Biscuit chocolat saveur amande,Gerblé,10.0
Galette de mais,Bjorg,9.2
sablé sésame saveur vanille  - Gerblé sans sucres,Gerblé,8.1
Sticks et bretzels d'Alsace,"Dr. Oetker, ANCEL",10.0
Ferrero Rocher,Ferrero,8.2
Granola Sante Czekoladowa,nutrition-sante,9.0909090909091
Farmhouse Super Seeded Loaf,Tesco,11.2
Smooth Peanut Butter,Pip & Nut,27.0
Crousti'Son Miel 🍯🐝Sésame,Gerblé,8.8
Germe de blé,Gerblé,30.0
Beurre de Cacahuètes Extra-Crunchy,"Hormel Foods Corporation, Skippy",27.5
Krisprolls - Wholegrain Complets,Pågen,12.0
hollandis class 16p,talberjt,10.0
CHAUSSEE AUX MOINES 340g,"Lactalis, chaussée aux moines",20.0
Low Sugar Granola Original,Crownfield,13.7
Yankee,,25.0
Cacao non sucré Le Bio,Van Houten,23.0
Crema de cacahuete 100% crunchy,Hacendado,30.0
President emmental coeur de meule 250g,"Lactalis, Président",27.0
Lasagne all'uovo,Barilla,14.0
Hipro Myrtille,"Hipro, Danone",9.3
Flocons d'avoine,Bjorg,10.8333333333333
03.06.2024 DEU101H 0?:14 4,La vache qui rit,11.0
shredded wheat,Nestlé,11.8
Indomie,beldi,10.0
Muesli Bio Superfruits,Jordans,11.2
SKYR,Danone,10.0
Biscottes Pleine vie Sans sel ajouté,"Heudebert, Lu, Mondelez",12.0
Emmental râpé,"Lactalis, Président",27.0
Whole Nut Milk Chocolate,Fin Carré,9.0
Tortellini ricotta & épinards,"Giovanni Rana, Rana",9.0
Smoky Barbecue Crunch,graze,9.6
Pain AMS 7 céréales,Harrys,10.7
Plain Sardines,Connétable,22.0
Croustillant 3 noix,Bjorg,11.0
Granola baja en azúcares,Hacendado,13.6
