product_name,brand,sugars
Milk Single Origin Chocolate,Waitrose,34.7
,Excelo,44.0
Milka aux noisettes,"Milka, Mondelez",57.0
Confiture de Fraise,Extra,62.0
Chocao,,79.5
Excellence Noir Caramel à la pointe de sel,Lindt,52.0
Ferrero rocher,Ferrero,39.9
,Ferrero Rocher,39.9
Noir amandes entières,"Côte d'or,Mondelez",40.0
Milk Caramel Sea Salt Chocolate,Tony's Chocolonely,51.0
Chocolat Tentation Noir Gourmand Amandes,Aiguebelle,36.8
sirop d'agave,"Bio Village, Marque Repère",68.0
Lindt Excellence Dark Orange Intense,Lindt,46.0
Miel de Flores,Hacendado,79.0
Sweet Chilli & Red Pepper,Tyrrell’s,51.0
Nocciola,Ferrero Rocher,39.6
Dried Mango,Alesto,65.0
Mints,"J.D. Gross, Lidl",63.1
Raffaello,Ferrero,33.6
,,71.7
,"Nestlé, Nesquik",75.1
Confiture de fraise,,62.0
Soft Pitted Dates,Alesto,52.7
Crunchy original,Be,34.13
Chicoree liquide 250 ml,Leroux,35.0
"BN - Strawberry Cookies, 285g (10oz)",BN,32.0
La Barquette (chocolat),LU,47.0
Bonbon à la Sève de Pin,"La Vosgienne, Mondelez",74.0
Création Rocher Noir,Lindt,44.0
itri choco,Excelo,35.0
Bonne Maman Hazelnut Chocolate Spread,Bonne Maman,51.0
Sucre Cmplet Muscovado,Alter Eco,95.0
NESTLÉ DESSERT Corsé 200g,"Nestlé, Nestlé Dessert, Tablettes",34.5
M&M's Cacahuètes - Pack familial,"M&M's, Mars",53.0
Original,ColaCao,70.0
Belvoir Farm,Ginger Cordial,33.3
Schokobons,Kinder,52.2
Excellence Raspberry,Lindt&Sprüngli,47.0
Golden syrup,Lyle's,79.0
Framboise Intense,Bonne Maman,38.0
Sirop d'agave,"Carrefour BIO,Carrefour",75.0
Berry Delight Bars,Nakd,48.0
Kinder Maxi,"Ferrero, Kinder, Mixte",53.3
Excellence Lait Extra Fondant,Lindt,50.0
Pack Cassonade Saint Louis 650g,Saint louis,99.0
Bono,Excelo,35.5
Mon Cherie,Ferrero,48.3
Tobigo,,31.58
Eyoo choc,Excelo,33.0
,Nestlé,50.4
Biscuits Nutella B-ready x15 gaufrettes fourrées,"Ferrero, Nutella B-ready",47.1
Miel de Fleurs BIO liquide Doseur 500g,Lune de miel,80.0
"Delacre - Delichoc Milk Chocolate Cookies, 150g (5.3oz)",Delacre,47.9
The golden experience,FERRERO ROCHER,39.9
Cocoa Delight,Nakd,43.0
yogo fraise,extra lait,35.24
Smacks,"Kellogg's, Smacks",34.0
Schoko-Bons,"Kinder, Ferrero",52.2
Crak's,Excelo,37.1
