product_code,product_name,brand,energy_kcal,energy_kj,carbohydrates,sugars,fat,saturated_fat,proteins,fiber,salt,sodium,fruits_veg_nuts,nutrition_score_fr,nova_group,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
3100881040809,ST YORRE Eau Minérale Naturelle Naturellement Gazeuse 1.15 L,"St yorre,VichyST Yorre",,,,,,,,,0.427,0.1708,0.0,2.0,1.0,,Unknown,Unknown,No
90399794,,Sprite,,,,0.0,,0.0,,,,,0.0,,4.0,,Unknown,Low Sugar,Yes
9111445000027,,,,,,,,,,,,,,0.0,1.0,,Unknown,Unknown,No
6111271800054,العين,idna,,,,,,,,,0.03575,0.0143,0.0,0.0,,,Unknown,Unknown,No
6191496000026,Eau minérale naturelle,délice,,,,,,,,,185.025,74.01,0.0,0.0,1.0,,Unknown,Unknown,No
8437019482329,Aqua sierra nevada,,,,,,,,,,6.25,2.5,,0.0,1.0,,Unknown,Unknown,No
6111092000343,tomakas,,,,,,,,,,,,,,,,Unknown,Unknown,No
4056489440628,Freeze Dried Instant Coffee,Bellarom,,,,,,,,,,,0.0,,1.0,,Unknown,Unknown,No
3664320011510,Eau minérale gazeuse,Quézac,,,,,,,,,0.275,0.11,0.0,0.0,4.0,,Unknown,Unknown,Yes
6111246950876,uht jibal 1/2L,Jibal,,,,4.8,3.0,,3.0,,,,0.0,,1.0,,Unknown,Low Sugar,No
6111259341234,Genova - Double Creme,Excelo,,,,,,,,,,,,,,,Unknown,Unknown,No
6111243380027,Miel d'eucalyptus,miel el Aâssal,,,,,,,,,,,0.0,,,,Unknown,Unknown,No
90418235,Hawaii,Coca-Cola,,,,,,,,,,,,,,,Unknown,Unknown,No
6111259344051,,,,2230.0,30.0,54.8,,,2.7,,0.04,0.016,,,,1.83,Unknown,High Sugar,No
6111180003843,Flan,Idéal,,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
6191475200010,eau minérale naturelle,TIJEN WATER,,,0.0,,0.0,0.0,0.0,0.0,45.0,18.0,0.0,0.0,1.0,,Unknown,Unknown,No
8723300710784,,Innovit (Action),,,,,,,,,,,0.0,,4.0,,Unknown,Unknown,Yes
