product_name,brand,salt
Crispy Chili oil,LAOGANMA,3.375
Vegetable chips,Deluxe,1.4
Salted English Butter,"Sainsbury's,by sainsbury's",1.475
Viva,Fromage,1.8
Heudebert Blé complet,Heudebert,1.43
Chips saveur Poulet Braisé,Brets,1.4
Mayonesa,Hacendado,1.1
Maxi tranches complet,"Carrefour, Carrefour-classic",1.1
Pesto basilico e pistacchio,Barilla,2.9
Parmigiano Reggiano & Poppyseed Torinesi Breadsticks,Crosta & Mollica,2.3
Cream Crackers,Rivercote,1.34
sauce soja,Star,16.76
cracotte,lu,1.4
Coulommiers 21%,Président,1.3
President spreadable lightly salted,"Lactalis, Président",3250.0
Filets De Maquereaux À L’huile Végétale,Marsa,11.4075
ZERO NITRITE - LE SUPERIEUR,Fleury Michon,2.0
Sticks Bretzels d'Alsace L'original,Dr. Oetker,2.8
Secret d'arômes plein sud,Knorr,44.6
MAGGI Bouillon KUB BIO Légumes 80g,Maggi,43.0
Acqua minerale naturale Sant'Anna,Sant'Anna,3.75
Organic Tomato Ketchup,Heinz,1.7
Grissini Breadstick,Rivercote,1.75
Cube De Bouillon - Boeuf (beef) - 8 Cubes,Ideal,23.5
,Pipas de la casa,898.0
AMORA Mayonnaise 5 Ingrédients 400g,Amora,1.2
Kelloggs Fruit & Fibre 700g,Kellogg's,1.0825
Organic Swiss Vegetable Vegan Bouillon Powder,Marigold,29.6525
,Hacendado,1.38
Ancient Grains Farmhouse Bread,"Aldi,Specially Selected",1.0825
Atún claro al natural,Hacendado,1100.0
Pérou grand cru Amazonas 70% note de fruits rouges,ETHIQUABLE,350.0
Le pain aux Céréales,Carrefour,1.2
Filets de tofu à la japonaise,Taifun,1.3775
Corn Flakes,Kellogg's,1.1
Cracker épeautre et 3 graines,MAÎTRE JEAN PIERRE,1.9
HERTA Lardons fumés conservation sans nitrite - 2x75g,Herta,2.2
Colman's Mustard imp,Colman's,8.5
Melts Cheese,Carr's,2.2
REFRIED BEANS,Old El Paso,1.21
Cheetos Sticks Palitos,Cheetos,1.7
L’original,Maille,2.3
Mini mix,Gullón,2.5
SHIN RAMYUN NOODLE,NONGSHIM,3.8
Dijon Mustard,Batts,6.5
Lincolnshire sausages,Cauldron,1.2775
Vegetable soup,New Covent Garden,1.0825
Softer Butter,Kerrygold,1.2
Pain de mie american sandwich complet sans sucres ajoutés maxi 900g,Harrys,1.1
Maille Cornichons Extra-Fins L'Original Bocal 380g,Maille®,2.4
Parmigiano Reggiano,"Casa azzurra, Granarolo",1.6
Pringles Hot & Spicy,PRINGLES,1.4
Corn Flakes Cereal,Kellogg's,1.1
2 Vegetarian Mozzarella Burgers,Linda McCartney,1.475
Spinach and Ricotta Tortelloni,Tesco,1.1025
Piadina,Crosta & Mollica,1.6
Kiri carré 12p,Kiri,1.6
Monaco,"Belin, Mondelez",2.1
Pain AMS complet,Harrys,1.2
Beurre demi sel aux crisraux de sel de Mer de Noirmoutier,Grand Fermage,2.4
Crackers heudebert,"Heudebert,LU,Mondelez",1.8
Saint Agur Crème,"Saint Agur, Savencia",1.5
Sel moulu de Guérande,Le Guérandais,85000.0
MAGGI Bouillon KUB Légumes,Maggi,47.3
tomate frito receta artesana,Hacendado,2250.0
Maille Moutarde Fine De Dijon L'Originale Verrine 165g,Maille,4.9
Crémeux saveur original,Violife,1.2
Light Mayonnaise,Hellman's,1.6725
Süßstoff,Lidl,33.8
Sting Energy,Sting,102.5
Vegane Pommersche Schnittlauch,Rügenwalder Mühle,2.1
Sauce andalouse star 290 g,Star,2.75
Sel fin iodé et fluoré,La baleine,97.5
Pesto Basilico Vegan,Barilla,3.0
Jamón cocido extra finas lonchas,Hacendado,1.9
Cream Crackers Original,Jacob's,1.2775
Proper Corn Sea Salted Popcorn,Proper,1.09
White Miso,Yutaka,11.8
Pain de Mie Complet,Assylor,1.13
Pizzarella premium,Gastro mixte,20.0
MAGGI Bouillon KUB Volaille 180g,"Nestlé, Maggi",51.0
Moutarde de Dijon,"Carrefour BIO, Carrefour",5.8
Amora Sauce Crudités Caesar Bouteille 380ml,Amora,1.5
Bretzels d'Alsace maxi,"Dr. Oetker, Ancel",2.5
Petits pains grillés blé complet,"Marque Repère, Épi d'Or",1.1
Mayonnaise,Bénédicta,1.4
Vegan Mayo,Hellmann's,1.5
HERTA LE BON PARIS Jambon à l'étouffée x6 -255g,"HERTA, Le Bon Paris",1.8
Dijon Mustard,Tesco,6.2
Star sauce salade au basilic,Star,1.75
Sel fin iodé,Cérébos,98.2
PRESIDENT BURGER CHEDDAR EMMENTAL 12 TRANCHES 200g,"Lactalis, Président",2.36
Mini Babybel Original,"Babybel,Mini babybel",1.7
Babybel,"BABYBEL, Mini babybel",1.7
