brand,product_code
Black Farmer,1
Black Sheep Craft Bakery,1
Blini,4
Blue Diamond Almonds,1
Blue Dragon,10
Blue band,1
Blue diamond almonds,1
Blue dragon,1
"Blues, Eurospin",1
Blédina,3
Bnina double saveur,1
Bob's Red Mill,1
Bodymass,8
Bol Bol,1
"Bol Bol,بول بول",1
Bol&Bol,1
Bom Petisco,1
"Bon & Bio,Bon et Bio",1
Bonduelle,33
"Bonduelle, Бондюэль",1
Bonna,1
Bonne Maman,68
"Bonne Maman,Andros",1
Bonne maman,5
Bonneterre,1
"Bons mayennais, Vaubernier",1
Bordeau Chesnel,1
"Bordeau Chesnel, Savencia",2
Bordeau chesnel,1
Border,1
Borderfields,1
"Borggreve,Wintertraum",1
Borsa,1
Borsec,3
Bosh Nooch!,1
Boss,2
Bottle Green,2
Bottlegreen Drinks,1
Bounty,2
"Bounty, Mars",1
Boursin,2
"Boursin,Boursin atartiner/core cheese",2
"Bouton D'Or, Les creations",1
Bouton d'Or,1
Bouton d'or,10
"Bouton d'or, Intermarché",1
"Bouton d'or, Les Mousquetaires, Sélection des Mousquetaires",1
"Bouton d'or, Sélection Intermarché",1
Bovetti,1
Bragg,2
Bramwells,13
Branston,6
Bravo Crem,1
"Break,Tiffany",1
"Bresse Bleu,Savencia",1
Bresso,1
"Bresso, Savencia",1
Bret's,4
Brets,14
Briau,2
Bridelice,1
Bridelight,4
Bridélice,7
Brillante,2
Brioche Pasquier,13
"Brioche Pasquier, Pasquier",2
"Brioche Pasquier,Pasquier",1
Brioches Fonteneau,1
Britannia,1
Bronchales,1
Brooklea,7
Brossard,12
Bruggen,1
Brun,1
"Brun, Mondelez",2
"Brunch, Edelweiss, Savencia",1
Brüggen,1
Buckwud,1
Buldak,1
"Buldak,Samyang",1
Bulk powders,1
Bumble bee foods,1
Burn,1
Burton Biscuits,1
Butterkist,3
By Sainsbury's,24
"By Sainsbury's,Sainsbury’s",1
By sainsbury's,14
"By sainsbury's, Wholesome",1
Bé,2
Béghin Say,1
"Béghin Say,La Perruche,Tereos",1
Béghin SayTereos,1
"Bénenuts, PepsiCo",1
Bénédicta,10
"Bénédicta, H.J. Heinz France, Heinz",1
"Bénédicta, Heinz",1
Bénénuts,2
Bürger,1
C'est qui le patron,1
"C'est qui le patron ?!, La marque du consommateur",1
CABREIROÁ,1
CAPRI-SUN.,1
CARDELLA,1
CARREFOUR,1
CARREFOUR CLASSIC',1
"CARREFOUR CLASSIC', Carrefour",2
"CARREFOUR ORIGINAL, Carrefour",1
"CARTE NOIR, Carte Noire",1
CEMOI,1
"CF&R, Coeur de lion, Savencia",1
